Time,Tied Array Beams,DAARO! All Sky Camera,AARTFAAC,"Watec optical Burlage+Dwingeloo Pointing LOFAR","Watec optical Burlage+Dwingeloo Pointing Twist"
2020-08-12 20:18:44,1,1,,0,0
2020-08-12 21:12:40,0,0,,2,0
2020-08-12 21:19:26,0,0,,2,0
2020-08-12 21:25:49,2,1,3,0,0
2020-08-12 21:28:12,2,1,,0,0
2020-08-12 21:31:40,0,0,,0,2
2020-08-12 21:42:37,0,1,,0,0
2020-08-12 21:57:53,0,1,,0,0
2020-08-12 22:02:31,0,0,,2,0
2020-08-12 22:24:39,0,0,,2,0
2020-08-12 22:35:18,1,2,,0,0
2020-08-12 22:37:37,0,0,,2,0
2020-08-12 22:43:20,0,0,,2,2
2020-08-12 23:02:12,0,0,,0,2
2020-08-12 23:07:27,0,0,,0,2
2020-08-12 23:11:26,0,0,,0,2
2020-08-12 23:16:14,0,0,,0,2
2020-08-12 23:22:49,0,0,,2,0
2020-08-12 23:33:34,0,0,,0,2
2020-08-12 23:36:05,2,2,,0,0
2020-08-12 23:47:53,0,0,,2,0
2020-08-12 23:53:00,0,0,,2,0
2020-08-12 23:57:39,0,0,,0,2
2020-08-13 00:01:46,0,0,,2,0
2020-08-13 00:02:07,0,0,,0,2
2020-08-13 00:11:26,3,3,2,0,0
2020-08-13 00:44:09,0,0,,0,2
2020-08-13 00:45:50,0,0,,0,2
2020-08-13 00:55:30,2,0,,2,0
2020-08-13 01:03:15,0,0,,0,2
2020-08-13 01:07:40,0,0,,2,0
2020-08-13 01:10:33,0,0,,0,2
2020-08-13 01:11:14,0,0,,0,2
2020-08-13 01:13:47,1,0,,0,2
2020-08-13 01:13:54,1,1,,0,0
2020-08-13 01:15:50,0,0,,0,2
2020-08-13 01:29:47,0,0,,2,0
2020-08-13 01:37:16,1,0,,2,0
2020-08-13 01:41:21,1,1,,0,0
2020-08-13 01:41:23,1,2,3,0,0
2020-08-13 01:46:12,0,1,,0,0
2020-08-13 01:50:09,0,1,,0,0
2020-08-13 02:11:57,0,0,,0,2
2020-08-13 02:13:00,0,0,,0,2
2020-08-13 02:19:16,0,0,,2,0
2020-08-13 02:22:56,2,0,,2,0
2020-08-13 02:24:39,0,1,,0,0
2020-08-13 02:27:17,0,0,,0,2
2020-08-13 02:50:31,0,0,,2,0
2020-08-13 02:53:34,0,1,,0,0
2020-08-13 02:57:39,1,3,3,0,0
2020-08-13 03:11:34,1,2,,0,0
