CAMSID,SAP0_match
2,2
7,2
10,1
11,1
13,1
15,2
20,2
21,1
23,1
24,2
38,1
46,1
49,1
52,2
54,1
59,1
60,2
61,1
66,1
70,1
71,1
71,1
76,2
77,1
82,1
87,2
96,1
98,1
99,1
101,1
103,2
118,1
122,2
123,2
124,1
125,1
126,1
130,1
139,1
141,1
142,2
143,1
147,2
151,2
154,2
155,1
156,2
157,2
159,1
161,1
174,1
179,1
185,2
186,2
187,1
190,2
199,1
203,1
204,1
207,1
208,1
209,1
213,2
214,2
219,2
220,1
222,1
224,1
225,1
230,1
233,1
234,1
238,1
241,2
243,1
248,2
249,1
254,1
255,1
257,1
269,1
270,2
274,1
278,1
281,1
284,2
285,2
288,2
292,1
296,2
297,1
305,1
309,1
318,1
319,2
320,1
326,1
327,1
332,1
337,2
338,1
343,1
344,2
346,1
350,1
352,2
353,2
368,1
369,2
375,1
376,1
377,2
384,1
403,1
408,1
411,1
412,1
415,2
421,2
424,1
427,2
434,1
440,2
441,2
448,1
454,1
456,1
466,1
467,1
474,1
480,2
484,2
489,2
491,2
492,2
493,2
494,2
495,2
496,2
497,1
498,2
501,1
510,1
512,1
513,1
517,2
518,2
520,1
522,1
523,1
524,1
526,1
527,1
529,1
534,1
537,1
538,1
544,1
545,2
546,2
552,1
556,2
561,1
566,1
567,1
568,1
573,2
575,1
578,1
583,1
586,1
589,1
599,1
601,2
607,1
611,1
616,2
617,2
631,2
632,1
634,1
643,2
644,1
645,2
662,1
665,1
667,2
671,2
672,1
673,1
676,1
677,2
687,1
696,1
697,1
698,1
699,1
702,1
703,1
704,1
706,2
707,1
714,1
715,1
718,2
720,1
725,2
728,1
729,1
735,1
737,2
